date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2010-01-07,601117,3.81,3.8,3.91,3.7,5700820,3275273252.0,6.03,9.2,0.32,61.65
2010-01-08,601117,3.65,3.63,3.66,3.55,2440803,1352582047.0,2.89,-4.47,-0.17,26.39
2010-01-11,601117,3.71,3.56,3.71,3.51,1504253,832707221.0,5.51,-1.93,-0.07,16.27
2010-01-12,601117,3.55,3.61,3.62,3.52,982008,543195822.0,2.81,1.4,0.05,10.62
2010-01-13,601117,3.53,3.49,3.56,3.48,1045678,571520474.0,2.22,-3.32,-0.12,11.31
2010-01-14,601117,3.51,3.55,3.59,3.48,764077,418817253.0,3.15,1.72,0.06,8.26
2010-01-15,601117,3.53,3.53,3.54,3.49,488263,266875742.0,1.41,-0.56,-0.02,5.28
2010-01-18,601117,3.52,3.51,3.52,3.49,508709,277246458.0,0.85,-0.57,-0.02,5.5
2010-01-19,601117,3.5,3.54,3.54,3.49,579259,316507568.0,1.42,0.85,0.03,6.26
2010-01-20,601117,3.53,3.39,3.53,3.38,812173,438896123.0,4.24,-4.24,-0.15,8.78
2010-01-21,601117,3.4,3.4,3.43,3.37,550663,294396543.0,1.77,0.29,0.01,5.95
2010-01-22,601117,3.37,3.29,3.37,3.21,574439,300734953.0,4.71,-3.24,-0.11,6.21
2010-01-25,601117,3.24,3.25,3.3,3.21,220979,115082892.0,2.74,-1.22,-0.04,2.39
2010-01-26,601117,3.25,3.14,3.29,3.1,331534,169925261.0,5.85,-3.38,-0.11,3.59
2010-01-27,601117,3.14,3.24,3.29,3.1,475936,245239502.0,6.05,3.18,0.1,5.15
2010-01-28,601117,3.26,3.26,3.31,3.22,654440,341316898.0,2.78,0.62,0.02,7.08
2010-01-29,601117,3.26,3.21,3.28,3.18,515127,267476966.0,3.07,-1.53,-0.05,5.57
2010-02-01,601117,3.21,3.22,3.23,3.15,337322,173507482.0,2.49,0.31,0.01,3.65
2010-02-02,601117,3.21,3.19,3.26,3.18,520054,268790441.0,2.48,-0.93,-0.03,5.62
