date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2025-07-01,001388,59.4,62.84,69.4,59.39,252553,1611004104.87,63.27,297.22,47.02,82.61
2025-07-02,001388,54.4,62.96,67.4,54.28,191567,1191446997.98,20.88,0.19,0.12,62.66
2025-07-03,001388,64.4,60.6,65.7,59.8,133098,839917972.13,9.37,-3.75,-2.36,43.53
2025-07-04,001388,58.51,56.13,62.11,55.8,139913,822319331.57,10.41,-7.38,-4.47,45.76
2025-07-07,001388,55.4,51.38,56.96,51.3,142066,763473202.48,10.08,-8.46,-4.75,46.47
2025-07-08,001388,49.76,47.83,50.39,47.53,133676,652136128.58,5.57,-6.91,-3.55,43.72
2025-07-09,001388,47.41,47.7,47.97,47.2,78481,377772546.84,1.61,-0.27,-0.13,25.67
2025-07-10,001388,47.44,46.36,47.45,46.32,76923,363918303.09,2.37,-2.81,-1.34,25.16
2025-07-11,001388,46.1,46.22,46.54,45.68,58218,271894736.23,1.86,-0.3,-0.14,19.04
2025-07-14,001388,46.05,46.58,46.9,46.05,40433,190822031.5,1.84,0.78,0.36,13.23
2025-07-15,001388,46.3,45.73,46.39,45.43,46973,218058825.03,2.06,-1.82,-0.85,15.36
2025-07-16,001388,45.7,46.02,46.16,45.63,31973,148843376.81,1.16,0.63,0.29,10.46
2025-07-17,001388,45.9,46.08,46.23,45.8,28600,133427163.18,0.93,0.13,0.06,9.35
2025-07-18,001388,46.09,45.95,46.18,45.69,34313,159529679.66,1.06,-0.28,-0.13,11.22
2025-07-21,001388,45.96,47.02,47.04,45.9,64913,306608930.16,2.48,2.33,1.07,21.23
2025-07-22,001388,47.03,46.6,47.03,46.16,50286,236199651.5,1.85,-0.89,-0.42,16.45
2025-07-23,001388,46.75,46.96,48.8,46.64,75084,361028194.79,4.64,0.77,0.36,24.56
2025-07-24,001388,46.04,46.35,46.36,45.47,49939,232287250.42,1.9,-1.3,-0.61,16.33
2025-07-25,001388,46.1,46.11,46.39,45.94,26626,124307996.17,0.97,-0.52,-0.24,8.71
2025-07-28,001388,46.06,46.19,46.27,45.86,22927,106970322.05,0.89,0.17,0.08,7.5
2025-07-29,001388,46.18,46.12,46.33,45.93,23346,108996748.71,0.87,-0.15,-0.07,7.64
2025-07-30,001388,46.08,45.68,46.09,45.61,28405,131697971.64,1.04,-0.95,-0.44,9.29
2025-07-31,001388,45.7,45.44,45.86,45.41,24301,112306809.45,0.99,-0.53,-0.24,7.95
2025-08-01,001388,45.3,45.21,45.47,45.1,19256,88224644.28,0.81,-0.51,-0.23,6.3
2025-08-04,001388,44.97,45.34,45.34,44.63,17087,77886902.94,1.57,0.29,0.13,5.59
2025-08-05,001388,45.33,46.24,46.25,45.22,38407,178672576.28,2.27,1.99,0.9,12.56
2025-08-06,001388,46.26,46.4,46.56,45.88,35897,168152149.65,1.47,0.35,0.16,11.74
2025-08-07,001388,46.7,46.39,46.77,46.22,28908,135991847.66,1.19,-0.02,-0.01,9.46
2025-08-08,001388,46.9,45.92,46.9,45.91,25011,117206073.39,2.13,-1.01,-0.47,8.18
2025-08-11,001388,45.92,46.01,46.12,45.66,22786,105899153.63,1.0,0.2,0.09,7.45
2025-08-12,001388,46.01,45.83,46.09,45.59,20783,96412697.37,1.09,-0.39,-0.18,6.8
2025-08-13,001388,45.85,46.34,46.5,45.81,33075,154850564.52,1.51,1.11,0.51,10.82
2025-08-14,001388,46.3,45.45,46.4,45.4,30771,142776490.86,2.16,-1.92,-0.89,10.06
2025-08-15,001388,45.41,46.01,46.02,45.28,21526,99901268.57,1.63,1.23,0.56,7.04
2025-08-18,001388,46.02,47.22,47.86,46.02,62388,296767488.13,4.0,2.63,1.21,20.41
2025-08-19,001388,47.25,46.99,47.65,46.71,38693,184293026.74,1.99,-0.49,-0.23,12.66
2025-08-20,001388,46.79,47.19,47.23,46.55,26460,125778964.22,1.45,0.43,0.2,8.65
2025-08-21,001388,47.34,47.1,47.37,46.77,25491,121386289.04,1.27,-0.19,-0.09,8.34
2025-08-22,001388,47.4,47.9,48.18,46.98,51779,249989811.28,2.55,1.7,0.8,16.94
2025-08-25,001388,48.21,47.82,48.38,47.61,43155,209379571.89,1.61,-0.17,-0.08,14.12
2025-08-26,001388,47.82,47.88,48.19,47.41,37302,180761707.63,1.63,0.13,0.06,12.2
2025-08-27,001388,47.95,48.13,50.72,47.72,87280,434024132.93,6.27,0.52,0.25,28.55
2025-08-28,001388,48.09,52.37,53.0,48.02,139743,717242432.62,10.35,8.81,4.24,45.71
2025-08-29,001388,52.4,50.17,52.41,49.94,80918,415819991.19,4.72,-4.2,-2.2,26.47
2025-09-01,001388,50.19,50.38,51.12,50.06,46183,236139673.69,2.11,0.42,0.21,15.11
2025-09-02,001388,50.44,48.92,50.46,48.17,42546,211232346.37,4.55,-2.9,-1.46,13.92
2025-09-03,001388,48.99,47.33,49.0,47.28,33397,162120324.0,3.52,-3.25,-1.59,10.92
2025-09-04,001388,47.28,47.85,48.0,47.1,28262,136146590.61,1.9,1.1,0.52,9.24
2025-09-05,001388,47.89,48.5,48.52,47.2,28182,136960599.47,2.76,1.36,0.65,9.22
