date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2025-10-17,601026,24.62,29.53,29.85,23.91,853286,2301298492.0,101.89,406.52,23.7,79.61
2025-10-20,601026,27.84,25.81,29.25,25.66,619872,1689277667.0,12.16,-12.6,-3.72,57.83
2025-10-21,601026,24.55,25.81,27.22,23.95,555595,1447222652.0,12.67,0.0,0.0,51.84
2025-10-22,601026,24.39,23.51,25.13,23.36,522214,1267710272.0,6.86,-8.91,-2.3,48.72
2025-10-23,601026,22.85,23.84,24.49,22.43,475854,1122196830.0,8.76,1.4,0.33,44.4
2025-10-24,601026,23.45,26.24,26.24,23.05,445683,1141506815.0,13.38,10.07,2.4,41.58
2025-10-27,601026,26.85,24.6,27.07,23.98,597887,1496222573.0,11.78,-6.25,-1.64,55.78
2025-10-28,601026,24.0,23.32,24.34,23.11,359691,850512385.0,5.0,-5.2,-1.28,33.56
2025-10-29,601026,23.06,23.57,24.12,23.04,289815,684342868.0,4.63,1.07,0.25,27.04
2025-10-30,601026,23.32,22.85,23.55,22.84,235749,547416509.0,3.01,-3.05,-0.72,21.99
2025-10-31,601026,22.65,22.55,22.81,22.46,158912,361331743.0,1.53,-1.31,-0.3,14.83
2025-11-03,601026,22.45,22.77,22.78,22.08,146237,330236263.0,3.1,0.98,0.22,13.64
2025-11-04,601026,22.65,22.29,22.65,22.11,141307,317609557.0,2.37,-2.11,-0.48,13.18
2025-11-05,601026,22.1,22.77,23.17,22.0,187531,428889590.0,5.25,2.15,0.48,17.5
2025-11-06,601026,22.45,22.41,22.54,22.29,135323,304743329.0,1.1,-1.58,-0.36,12.63
2025-11-07,601026,22.42,22.12,22.46,22.1,108220,241979171.0,1.61,-1.29,-0.29,10.1
2025-11-10,601026,22.16,22.23,22.32,22.03,80890,180448373.0,1.31,0.5,0.11,7.55
2025-11-11,601026,22.3,22.35,22.42,22.12,98549,221128817.0,1.35,0.54,0.12,9.19
2025-11-12,601026,22.36,22.7,22.84,22.07,163357,369163867.0,3.45,1.57,0.35,15.24
2025-11-13,601026,22.81,22.56,22.81,22.4,120466,273356216.0,1.81,-0.62,-0.14,11.24
2025-11-14,601026,22.43,22.55,22.98,22.35,143143,327589220.0,2.79,-0.04,-0.01,13.35
